事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
86,2024-04-01 23:43:00,2024-04-01 23:43:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.077,30,正常
87,2024-04-01 23:45:00,2024-04-01 23:49:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,44.465,150,Mahalanobis 距离=44.5（阈值=18.5）。主要贡献特征：PC4 (67.3%); PC3 (20.1%); PC2 (12.6%)。
88,2024-04-01 23:57:00,2024-04-01 23:57:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9.051,30,正常
89,2024-04-01 23:59:00,2024-04-01 23:59:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,12.45,30,正常
90,2024-04-02 00:01:00,2024-04-02 00:02:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,13.362,60,正常
91,2024-04-02 00:04:00,2024-04-02 00:04:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9.417,30,正常
92,2024-04-02 00:13:00,2024-04-02 00:13:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.933,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.9，实际=48.0 vs 预测=16.8）
93,2024-04-02 00:16:00,2024-04-02 00:17:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.987,60,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=5.0，实际=53.0 vs 预测=18.0）
94,2024-04-02 00:37:00,2024-04-02 00:37:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.754,30,正常
95,2024-04-02 00:41:00,2024-04-02 00:42:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,11.075,60,正常
96,2024-04-02 00:45:00,2024-04-02 00:46:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.519,60,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=5.5，实际=312.0 vs 预测=94.0）
97,2024-04-02 00:50:00,2024-04-02 00:50:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10.929,30,正常
98,2024-04-02 00:54:00,2024-04-02 00:55:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.731,60,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.7，实际=34.0 vs 预测=4.4）
99,2024-04-02 00:58:00,2024-04-02 01:02:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,49.544,150,Mahalanobis 距离=49.5（阈值=18.5）。主要贡献特征：PC2 (88.5%); PC3 (11.5%)。
100,2024-04-02 01:10:00,2024-04-02 01:10:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.982,30,正常
101,2024-04-02 01:13:00,2024-04-02 01:13:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.002,30,正常
102,2024-04-02 01:15:00,2024-04-02 01:19:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.409,150,正常
103,2024-04-02 01:25:00,2024-04-02 01:25:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.188,30,残差异常：采煤机_牵引部位_左电机_电流 偏高（残差 Z-score=3.2，实际=137.0 vs 预测=0.0）
104,2024-04-02 01:39:00,2024-04-02 01:39:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.214,30,正常
105,2024-04-02 01:44:00,2024-04-02 01:44:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.549,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=5.5，实际=52.0 vs 预测=16.6）
106,2024-04-02 02:03:00,2024-04-02 02:03:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.337,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.3，实际=51.0 vs 预测=16.6）
107,2024-04-02 02:07:00,2024-04-02 02:07:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.705,30,正常
108,2024-04-02 02:40:00,2024-04-02 02:40:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.49,30,正常
109,2024-04-02 02:46:00,2024-04-02 02:46:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.873,30,正常
110,2024-04-02 02:52:00,2024-04-02 02:53:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.674,60,正常
111,2024-04-02 03:03:00,2024-04-02 03:03:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.347,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.3，实际=53.0 vs 预测=16.8）
112,2024-04-02 03:08:00,2024-04-02 03:08:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.657,30,正常
113,2024-04-02 03:24:00,2024-04-02 03:24:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.404,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.4，实际=27.0 vs 预测=0.0）
114,2024-04-02 03:35:00,2024-04-02 03:36:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.134,60,正常
115,2024-04-02 03:40:00,2024-04-02 03:41:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.098,60,正常
116,2024-04-02 03:46:00,2024-04-02 03:48:00,3.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.66,90,正常
117,2024-04-02 03:56:00,2024-04-02 03:56:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.734,30,正常
118,2024-04-02 03:59:00,2024-04-02 03:59:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.643,30,正常
119,2024-04-02 04:03:00,2024-04-02 04:03:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.538,30,正常
120,2024-04-02 04:06:00,2024-04-02 04:07:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.925,60,正常
121,2024-04-02 04:11:00,2024-04-02 04:12:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.867,60,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=3.9，实际=49.0 vs 预测=16.8）
122,2024-04-02 04:22:00,2024-04-02 04:22:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.641,30,正常
123,2024-04-02 04:27:00,2024-04-02 04:27:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.067,30,正常
124,2024-04-02 04:32:00,2024-04-02 04:32:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.002,30,正常
125,2024-04-02 04:54:00,2024-04-02 04:59:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,56.031,180,Mahalanobis 距离=56.0（阈值=18.5）。主要贡献特征：PC2 (71.3%); PC3 (27.1%); PC4 (1.0%)。
126,2024-04-02 05:01:00,2024-04-02 05:01:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.31,30,正常
127,2024-04-02 05:06:00,2024-04-02 05:06:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.235,30,正常
128,2024-04-02 05:11:00,2024-04-02 05:11:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.019,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=5.0，实际=58.0 vs 预测=16.2）
129,2024-04-02 05:18:00,2024-04-02 05:18:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.348,30,正常
130,2024-04-02 05:27:00,2024-04-02 05:27:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.845,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.8，实际=56.0 vs 预测=22.0）
131,2024-04-02 05:32:00,2024-04-02 05:32:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.913,30,正常
132,2024-04-02 05:34:00,2024-04-02 05:35:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.853,60,残差异常：采煤机_破碎机_电机_温度 偏高（残差 Z-score=4.9，实际=58.0 vs 预测=41.0）
133,2024-04-02 05:44:00,2024-04-02 05:44:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.524,30,正常
134,2024-04-02 05:51:00,2024-04-02 05:51:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.845,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.8，实际=50.0 vs 预测=16.0）
135,2024-04-02 05:59:00,2024-04-02 05:59:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.774,30,正常
136,2024-04-02 06:08:00,2024-04-02 06:08:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.483,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.5，实际=45.0 vs 预测=16.4）
137,2024-04-02 06:16:00,2024-04-02 06:16:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.383,30,正常
138,2024-04-02 06:18:00,2024-04-02 06:18:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9.719,30,正常
139,2024-04-02 06:26:00,2024-04-02 06:26:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.724,30,正常
140,2024-04-02 06:37:00,2024-04-02 06:41:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.942,150,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=7.9，实际=63.0 vs 预测=0.0）
