事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2657,2024-04-25 21:29:00,2024-04-25 21:29:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.004,30,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=3.0，实际=176.0 vs 预测=71.2）
2658,2024-04-25 21:33:00,2024-04-25 21:36:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4114.29,120,Mahalanobis 距离=4114.3（阈值=18.5）。主要贡献特征：PC2 (82.6%); PC3 (17.3%)。
2659,2024-04-25 21:41:00,2024-04-25 21:41:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.728,30,正常
2660,2024-04-25 21:47:00,2024-04-25 21:47:00,1.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3140.423,30,Mahalanobis 距离=3140.4（阈值=18.5）。主要贡献特征：PC2 (69.2%); PC3 (30.6%)。
2661,2024-04-25 21:50:00,2024-04-25 21:55:00,6.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3608.255,180,Mahalanobis 距离=3608.3（阈值=18.5）。主要贡献特征：PC2 (72.5%); PC3 (27.5%)。
2662,2024-04-25 21:58:00,2024-04-25 21:58:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.058,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=5.1，实际=54.0 vs 预测=16.6）
2663,2024-04-25 22:06:00,2024-04-25 22:07:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.024,60,正常
2664,2024-04-25 22:11:00,2024-04-25 22:11:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.05,30,正常
2665,2024-04-25 22:31:00,2024-04-25 22:32:00,2.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,797.587,60,Mahalanobis 距离=797.6（阈值=18.5）。主要贡献特征：PC2 (54.9%); PC3 (45.0%)。
2666,2024-04-25 22:41:00,2024-04-25 22:42:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2544.682,60,Mahalanobis 距离=2544.7（阈值=18.5）。主要贡献特征：PC2 (70.4%); PC3 (29.6%)。
2667,2024-04-25 22:50:00,2024-04-25 22:50:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.05,30,正常
2668,2024-04-25 22:53:00,2024-04-25 22:55:00,3.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2669.18,90,Mahalanobis 距离=2669.2（阈值=18.5）。主要贡献特征：PC2 (67.0%); PC3 (33.0%)。
2669,2024-04-25 23:00:00,2024-04-25 23:02:00,3.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3192.296,90,Mahalanobis 距离=3192.3（阈值=18.5）。主要贡献特征：PC2 (68.9%); PC3 (31.1%)。
2670,2024-04-25 23:17:00,2024-04-25 23:17:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.445,30,残差异常：采煤机_截割部位_左滚筒_电机_电流 偏高（残差 Z-score=3.4，实际=207.0 vs 预测=62.2）
2671,2024-04-25 23:22:00,2024-04-25 23:26:00,5.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2431.329,150,Mahalanobis 距离=2431.3（阈值=18.5）。主要贡献特征：PC2 (68.6%); PC3 (31.2%)。
2672,2024-04-25 23:33:00,2024-04-25 23:33:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.13,30,正常
2673,2024-04-25 23:43:00,2024-04-25 23:43:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.275,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.3，实际=56.0 vs 预测=17.0）
2674,2024-04-25 23:46:00,2024-04-25 23:47:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.8,60,正常
2675,2024-04-25 23:50:00,2024-04-25 23:54:00,5.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3176.965,150,Mahalanobis 距离=3177.0（阈值=18.5）。主要贡献特征：PC2 (63.9%); PC3 (35.7%)。
2676,2024-04-26 00:00:00,2024-04-26 00:00:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.75,30,正常
