事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2070,2024-04-24 07:24:00,2024-04-24 07:30:00,7.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.379,238,残差异常：采煤机_油泵_右油箱_油压 偏高（残差 Z-score=7.4，实际=0.5 vs 预测=0.2）
2071,2024-04-24 08:17:00,2024-04-24 08:19:00,3.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.918,102,残差异常：采煤机_油泵_右油箱_油压 偏高（残差 Z-score=6.9，实际=0.3 vs 预测=0.0）
2072,2024-04-24 08:29:00,2024-04-24 08:33:00,5.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,18.853,170,Mahalanobis 距离=18.9（阈值=18.5）。主要贡献特征：PC3 (54.8%); PC2 (42.3%); PC4 (2.7%)。
2073,2024-04-24 09:09:00,2024-04-24 09:14:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,27.32,204,Mahalanobis 距离=27.3（阈值=18.5）。主要贡献特征：PC3 (63.3%); PC2 (30.9%); PC4 (4.2%)。
2074,2024-04-24 09:50:00,2024-04-24 09:52:00,3.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.918,102,残差异常：采煤机_油泵_右油箱_油压 偏高（残差 Z-score=6.9，实际=0.4 vs 预测=0.1）
2075,2024-04-24 10:30:00,2024-04-24 10:32:00,3.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.569,102,残差异常：采煤机_油泵_左油箱_油压 偏高（残差 Z-score=3.6，实际=0.7 vs 预测=0.5）
2076,2024-04-24 14:20:00,2024-04-24 14:26:00,7.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,28.274,238,Mahalanobis 距离=28.3（阈值=18.5）。主要贡献特征：PC3 (58.9%); PC1 (26.6%); PC4 (8.8%)。
2077,2024-04-24 15:02:00,2024-04-24 15:06:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1868.439,170,Mahalanobis 距离=1868.4（阈值=18.5）。主要贡献特征：PC2 (88.5%); PC3 (9.3%); PC4 (2.2%)。
2078,2024-04-24 15:17:00,2024-04-24 15:23:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2651.712,238,Mahalanobis 距离=2651.7（阈值=18.5）。主要贡献特征：PC2 (82.7%); PC3 (17.1%)。
2079,2024-04-24 15:31:00,2024-04-24 15:31:00,1.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.845,34,正常
